name,lat,lng,type,demand,supply,waste
M&S Foodhall,51.53781,-0.1420408,Supermarket,1649.5817306349938,1906.62,257.03826936500604
Waitrose,51.5163445,-0.1872577,Supermarket,1631.8137067523685,2091.2,459.38629324763133
Siragro Food & Wine,51.551496,-0.3197216,Supermarket,772.2431284687949,666.16,0.0
Co-op Food,51.3651976,-0.1610793,Supermarket,485.25099189164075,472.41,0.0
Iceland,51.6066678,0.2184595,Supermarket,245.22544796535252,272.24,27.014552034647494
Co-op Food,51.5935962,0.2333935,Supermarket,231.4008920240832,202.31,0.0
Sainsbury's New Barnet,51.6495733,-0.1714391,Supermarket,631.2032928257947,748.01,116.80670717420526
Waitrose,51.6559569,-0.2039214,Supermarket,622.5046612986714,623.75,1.245338701328592
Lidl,51.4252759,-0.04804,Supermarket,529.3684703519141,582.08,52.71152964808596
Lidl,51.4263195,-0.0262991,Supermarket,533.1095405955834,637.93,104.82045940441651
Tesco,51.4536317,-0.1462284,Supermarket,773.3957242280519,1030.43,257.03427577194816
Co-op Food,51.5256052,-0.0905348,Supermarket,768.1707240101806,1001.99,233.8192759898194
China Ark,51.5203402,-0.0525884,Supermarket,1192.7626641477964,1448.27,255.5073358522036
Whole Foods Market,51.5622036,-0.0752635,Supermarket,452.4376887017046,533.57,81.13231129829546
"Drinks, Food And Wine",51.5101799,-0.2871931,Supermarket,767.5688923224585,902.02,134.45110767754147
Arsenal Mini Mart,51.5538294,-0.111026,Supermarket,758.4303382523478,986.73,228.29966174765218
Co-op Food,51.5004995,-0.0992896,Supermarket,967.434308824878,1498.85,531.4156911751219
Waitrose,51.5222888,-0.0921222,Supermarket,753.7467391634004,763.02,9.273260836599547
Costless Supermarket,51.5251868,-0.1677061,Supermarket,1630.7029450462326,1889.98,259.27705495376745
Planet Organic,51.5378737,-0.0994848,Supermarket,748.1060948906159,682.15,0.0
M&S Foodhall,51.4093252,-0.0253944,Supermarket,608.3686383175083,981.42,373.0513616824917
Supersave Food & Wine,51.535802,-0.2463002,Supermarket,509.2128549090928,487.05,0.0
Pak Discount Cash & Carry,51.5387965,-0.2506357,Supermarket,510.71035750737536,719.46,208.74964249262467
Lidl,51.5611699,-0.2810103,Supermarket,499.2981724657336,435.71,0.0
Sainsbury's,51.4029424,-0.1931919,Supermarket,438.6574797316511,453.47,14.81252026834892
Thai Smile,51.4932737,-0.2395565,Supermarket,880.5861290981464,1063.47,182.88387090185358
M&S Foodhall,51.5196423,-0.1336008,Supermarket,1627.6636821299137,1486.78,0.0
Budgens,51.5435891,-0.1034635,Supermarket,753.9029749761577,1153.5,399.5970250238423
Longdan,51.5684253,-0.0246506,Supermarket,282.2871400138704,333.34,51.05285998612959
Budgens,51.4803248,-0.2125111,Supermarket,908.2356599311177,1493.66,585.4243400688824
Costcutter,51.4047157,-0.097606,Supermarket,834.244042770229,1052.43,218.18595722977102
Organic Food Centre,51.5597162,-0.0739597,Supermarket,454.16135342324,388.37,0.0
Asda,51.4582491,0.130167,Supermarket,262.3432310713396,225.87,0.0
Sushi Daily,51.5170472,-0.1267998,Supermarket,1601.8135453663804,2011.33,409.51645463361956
Little Waitrose,51.5515632,-0.192598,Supermarket,1622.642135394296,2251.68,629.0378646057038
Lina Food Centre,51.5328914,0.0059555,Supermarket,626.3661756726874,642.14,15.773824327312582
Lidl,51.4040111,0.0148911,Supermarket,638.3643509530502,619.7,0.0
The Co-operative Food,51.3932665,0.0341609,Supermarket,638.1430601195656,683.35,45.20693988043445
The Co-operative Food,51.5356791,-0.089194,Supermarket,449.0170600408315,465.1,16.082939959168527
M&S Simply Food,51.5583267,0.2498087,Supermarket,234.6809517042579,335.29,100.60904829574213
Green Valley,51.5151994,-0.1622861,Supermarket,1613.3364889495185,2391.8,778.4635110504817
Waitrose,51.506411,-0.2191224,Supermarket,880.9109541091416,1106.5,225.58904589085842
Londis,51.558598,0.2374634,Supermarket,227.85833440700497,196.77,0.0
Costcutter,51.5987065,-0.1106833,Supermarket,260.7223917700374,290.75,30.027608229962595
So Real,51.568775,-0.065799,Supermarket,448.1950008273722,597.04,148.84499917262775
Spar,51.499397,-0.1138056,Supermarket,768.2806004553516,916.84,148.5593995446484
Kollos Supermarket,51.5634509,-0.0728931,Supermarket,443.20087961696635,528.43,85.2291203830336
Sainsbury's,51.547484,-0.0732063,Supermarket,456.8449434433854,474.05,17.205056556614636
Planet Organic,51.515552,-0.1911509,Supermarket,1606.125936611954,1983.3,377.17406338804585
Waitrose,51.5795019,-0.1239343,Supermarket,249.88427948260983,373.72,123.8357205173902
Sainsbury's,51.5485855,-0.4747792,Supermarket,966.2774320675264,1117.15,150.87256793247366
Lidl,51.5868126,-0.0610958,Supermarket,252.88818457784961,275.07,22.18181542215038
Food Bazaar,51.5392452,-0.0978701,Supermarket,751.0900189812473,768.74,17.64998101875267
Co-op Food,51.5709672,-0.2949597,Supermarket,496.18360467691,472.94,0.0
Co-op Food,51.5000156,-0.3061477,Supermarket,763.4437173141006,1089.49,326.0462826858994
Sainsbury's,51.5417035,-0.0013384,Supermarket,628.5166129160996,861.53,233.0133870839004
Mother Earth,51.5463199,-0.1008456,Supermarket,756.1081758699746,1007.43,251.32182413002533
Greensmiths,51.5009165,-0.112365,Supermarket,774.787848636969,959.81,185.02215136303096
Waitrose,51.5464243,-0.179645,Supermarket,1618.988774747835,2348.18,729.1912252521649
Tesco,51.598887,0.1639417,Supermarket,234.38724960929153,349.43,115.04275039070848
Lidl,51.5032216,-0.2185824,Supermarket,887.9805717304455,801.37,0.0
Bumblebee Natural Foods,51.5497897,-0.1304196,Supermarket,1622.4936460811723,1775.45,152.95635391882774
Sainsbury's,51.4097308,-0.303411,Supermarket,498.6150009853939,542.36,43.744999014606094
Q Stores,51.6165904,-0.1780135,Supermarket,610.0667384777685,788.14,178.07326152223152
The 99p shop,51.5611161,-0.0739865,Supermarket,452.81235119985763,585.17,132.35764880014233
Lidl,51.6504896,-0.0814561,Supermarket,315.46525954590527,325.46,9.99474045409471
Aldi,51.5765714,-0.0966034,Supermarket,242.78353606552605,174.57,0.0
Iceland,51.5635945,-0.3551755,Supermarket,471.7278113020632,425.08,0.0
Sainsbury's,51.4059642,-0.030627,Supermarket,621.416491340658,471.69,0.0
Amazon Fresh,51.5125242,-0.0848775,Supermarket,36.33888744459925,38.44,2.1011125554007464
The Co-operative Food,51.4062571,-0.0577434,Supermarket,634.3905893610686,674.17,39.77941063893138
